# FractureId; NumTraces
0; 112
# TraceId; Tips; Length
66; 0; 1.1129192945332962e+00
49; 0; 8.0634963141206761e-01
29; 0; 7.6453158276338307e-01
2; 0; 7.5225517658242158e-01
18; 0; 7.4040238197284003e-01
89; 0; 7.3654450582128483e-01
12; 0; 7.3493089008155421e-01
14; 0; 5.4775222733060591e-01
4; 0; 4.6702629956687713e-01
60; 0; 4.4491066788961880e-01
22; 0; 4.4053940567650823e-01
62; 0; 4.3415190555811262e-01
93; 0; 3.8210752759614552e-01
43; 0; 3.4696865694708540e-01
94; 0; 2.7637831966820536e-01
9; 0; 2.7396765685449137e-01
92; 0; 2.3505107921679666e-01
44; 0; 2.1895339292832111e-01
79; 0; 1.7623066025342221e-01
3; 0; 9.5786178805001967e-02
51; 0; 1.4808689885559944e-05
16; 1; 1.1737748298668567e+00
52; 1; 1.1159766301137224e+00
30; 1; 1.0893653525883735e+00
80; 1; 1.0698983506238939e+00
50; 1; 1.0664012267359935e+00
55; 1; 8.6772089921670603e-01
5; 1; 7.9298622112138939e-01
77; 1; 7.8516554242760761e-01
19; 1; 7.5371325015753832e-01
39; 1; 7.5073285151483748e-01
87; 1; 7.4671148283306932e-01
99; 1; 7.2847161030374930e-01
61; 1; 7.2837736939575282e-01
48; 1; 7.2625942479642491e-01
15; 1; 7.1485637804446367e-01
98; 1; 7.0085477033736776e-01
97; 1; 6.9315942968769173e-01
53; 1; 6.6607382248204638e-01
36; 1; 6.6059464287754077e-01
0; 1; 6.5583555096543489e-01
95; 1; 6.3948971241479735e-01
28; 1; 6.2886958443855479e-01
69; 1; 6.2111599869644807e-01
104; 1; 6.1889571069006544e-01
31; 1; 6.1850191537115984e-01
84; 1; 6.1481589982170348e-01
6; 1; 6.1265712522911842e-01
86; 1; 6.0654311663326366e-01
70; 1; 5.8654174102083345e-01
21; 1; 5.8637558283745861e-01
34; 1; 5.8409648102294609e-01
100; 1; 5.8240657104941018e-01
73; 1; 5.8001487610812152e-01
109; 1; 5.4803257080282486e-01
46; 1; 5.4748319317886507e-01
40; 1; 5.2750958421798622e-01
57; 1; 5.2534523916642772e-01
63; 1; 5.2115677659595561e-01
67; 1; 5.2115009061376838e-01
65; 1; 5.2012055688731607e-01
45; 1; 5.1452470999722399e-01
107; 1; 4.9736256153109648e-01
37; 1; 4.8795402585504544e-01
7; 1; 4.7031706991420336e-01
58; 1; 4.4458618237598668e-01
23; 1; 4.4025492152286549e-01
101; 1; 4.3630208785225433e-01
110; 1; 4.3164593182822353e-01
13; 1; 4.3135252730008539e-01
38; 1; 4.3107415689891010e-01
75; 1; 4.1800555779804321e-01
82; 1; 4.1509570119349104e-01
8; 1; 4.1148391845808224e-01
25; 1; 4.0203555917989886e-01
81; 1; 3.8492851526239819e-01
105; 1; 3.8338696838409353e-01
11; 1; 3.7664571052867424e-01
96; 1; 3.7488649826279818e-01
27; 1; 3.6986339736091989e-01
42; 1; 3.6116490353446223e-01
33; 1; 3.5053761049990551e-01
102; 1; 3.4710732806097078e-01
85; 1; 3.4294539967418203e-01
103; 1; 3.4045107412141212e-01
74; 1; 3.2114363599468848e-01
78; 1; 3.1171369323265397e-01
83; 1; 2.9479338757500484e-01
68; 1; 2.7562843423941263e-01
32; 1; 2.6462845507924193e-01
47; 1; 2.6042535599010463e-01
54; 1; 2.5823740590273309e-01
108; 1; 2.5763383605361390e-01
26; 1; 2.5021635734361397e-01
90; 1; 2.4982488236357778e-01
41; 1; 2.4179643398560596e-01
64; 1; 2.3527177804675026e-01
10; 1; 1.9350010847403656e-01
24; 1; 1.8281591411641943e-01
76; 1; 1.8028649290330651e-01
1; 1; 1.7923457329795650e-01
111; 1; 1.6660416425126842e-01
56; 1; 1.5879143439932700e-01
71; 1; 1.3421580813045580e-01
35; 1; 1.3345118204797438e-01
17; 1; 1.1327551355803224e-01
20; 1; 9.9596393639698078e-02
91; 1; 7.7914503723165995e-02
59; 1; 6.5378311033676140e-02
106; 1; 2.1666099818173190e-02
72; 1; 1.6433124820834075e-02
88; 1; 1.0938152815214231e-02
# FractureId; NumTraces
1; 93
# TraceId; Tips; Length
162; 0; 7.2296071071920631e-01
181; 0; 6.9062406905993945e-01
133; 0; 2.1656226757294947e-01
196; 0; 1.2333868688635105e-01
124; 1; 1.4191526304972921e+00
157; 1; 1.3131270394307686e+00
