# Id Frattura
360
# Id; X; Y; Z
0; 8.8817841970012523e-16; 1.0000000000000000e+02; 0.0000000000000000e+00
1; 7.0710678118654755e+00; 1.0000000000000000e+02; -7.0710678118654746e+00
2; 7.0710678118654755e+00; 0.0000000000000000e+00; -7.0710678118654746e+00
3; 0.0000000000000000e+00; 0.0000000000000000e+00; 8.8817841970012523e-16
4; -7.0710678118654746e+00; 0.0000000000000000e+00; 7.0710678118654755e+00
5; -7.0710678118654746e+00; 1.0000000000000000e+02; 7.0710678118654755e+00

# Id Frattura
361
# Id; X; Y; Z
0; 8.8817841970012523e-16; 1.0000000000000000e+02; 0.0000000000000000e+00
1; 7.0710678118654755e+00; 1.0000000000000000e+02; 7.0710678118654746e+00
2; 7.0710678118654755e+00; 0.0000000000000000e+00; 7.0710678118654746e+00
3; 0.0000000000000000e+00; 0.0000000000000000e+00; -8.8817841970012523e-16
4; -7.0710678118654746e+00; 0.0000000000000000e+00; -7.0710678118654755e+00
5; -7.0710678118654746e+00; 1.0000000000000000e+02; -7.0710678118654755e+00

